Quantity Sold (units),Product Category,Month,Average Temperature (¡C),Monthly Precipitation (mm),Route (ID),Route Distance (km),Average Transit Time (hrs),Cost per Kilometer ($),Traffic Conditions
466,Refrigerated,1,29.25,68.11,10,21.82,2.12,9.58,Low
528,Fresh,1,25.41,67.17,5,42.81,1.58,13.26,Low
561,Refrigerated,1,34.11,27.42,8,8.17,2.18,9.95,Low
497,Fresh,1,27.58,85.28,8,37.39,3.64,14.48,Moderate
462,Fresh,1,15.95,25.13,3,7.53,2.38,14.18,Low
549,Fresh,1,34.05,58.41,9,19.65,2.52,9.05,Low
476,Refrigerated,1,33.6,35.86,1,30.01,3.58,12.05,Low
564,Refrigerated,1,21.08,12.53,2,6.31,2.9,12.08,Moderate
523,Fresh,1,25.6,97.55,2,16.75,2.33,8.24,High
512,Fresh,1,27.59,49.7,5,5.36,3.56,10.4,Moderate
559,Refrigerated,1,29.92,35.82,3,13.03,4.45,10.26,Moderate
481,Fresh,1,30.81,36.21,9,35.19,4.79,13.58,Low
552,Fresh,1,24.99,87.71,8,6.11,1.52,10.06,Low
502,Fresh,1,28.36,22.95,10,49.47,2.57,12.45,Low
545,Fresh,1,30.76,6.53,3,39.21,3.81,13.12,Moderate
455,Refrigerated,1,32.94,55.02,8,7.12,4.12,14.59,Moderate
512,Fresh,1,30.61,42.14,6,32.12,1.47,14.58,Low
450,Fresh,1,30.18,11.29,5,5.62,2.2,8.15,Moderate
466,Fresh,1,19.22,72.41,5,30.5,4.84,9.22,Low
573,Fresh,1,25.53,50.24,8,5.02,2.22,8.07,Moderate
584,Fresh,1,18.65,37.03,2,45.19,3.86,14.07,Low
450,Fresh,1,30.54,17.64,9,22.39,4.33,13.73,Low
590,Refrigerated,1,26.16,56.36,6,6.79,4.96,8.71,Moderate
471,Fresh,1,19.66,48.88,2,24.84,2.42,14.31,High
566,Fresh,1,17.7,20.73,5,12,1.37,14.36,Moderate
560,Fresh,1,17.88,54.13,10,25,2.25,14.09,Moderate
493,Fresh,1,32.1,62.41,8,25.34,3.58,14.7,Low
558,Refrigerated,1,30.2,88.55,5,38.84,3.87,10.62,Low
539,Refrigerated,1,30.6,59.14,2,8.03,1.22,11.77,Moderate
532,Fresh,1,28.84,14.71,9,24.45,1.7,10.65,Moderate
490,Refrigerated,1,18.7,82.03,10,44.3,3.84,14.09,Low
463,Refrigerated,1,17.84,20.53,5,16.66,2.15,8.12,High
536,Fresh,1,22.49,13.88,5,5.07,2.3,12.5,Moderate
453,Fresh,1,29.97,96.92,8,26,1.29,8.44,High
567,Refrigerated,1,32.51,90.91,3,9.17,2.61,14.36,Moderate
469,Refrigerated,1,20.38,75.27,4,16.42,1.46,11.27,Moderate
495,Fresh,1,29.2,12.99,3,32.24,1.97,14.63,High
558,Fresh,1,27.46,68.52,6,38.21,3.47,11.27,Low
476,Refrigerated,1,18.91,31.17,9,35.71,2.9,10.13,High
